Intercept	Lambda GC	Mean Chi^2	Ratio
rntrn_ilamax_h2.log	 1.0038 (0.009)	 1.0957	 1.1257	 0.0299 (0.0713)
rntrn_ilamin_h2.log	 1.0096 (0.0077)	 1.0957	 1.106	 0.0911 (0.0723)
rntrn_laaef_h2.log	 1.0201 (0.0072)	 1.0957	 1.0773	 0.2599 (0.0928)
rntrn_lamax_h2.log	 1.0002 (0.0086)	 1.0957	 1.1347	 0.0013 (0.0638)
rntrn_lamin_h2.log	 1.0093 (0.0074)	 1.0957	 1.1124	 0.0825 (0.0656)
rntrn_lapef_h2.log	 1.0073 (0.0072)	 1.0466	 1.0856	 0.0851 (0.0841)
rntrn_latef_h2.log	 1.0122 (0.0069)	 1.0466	 1.0691	 0.1764 (0.0998)
