"outcome"	"exposure"	"method"	"nsnp"	"b"	"se"	"pval"	"pval_egger_intercept"
"CES"	"lapef"	"Inverse variance weighted"	5	-0.658180510624089	0.218954567743814	0.0026469675231292	0.227111996303469
"HF"	"lapef"	"Inverse variance weighted"	5	-0.111180206581957	0.246484503263971	0.651943655139809	0.489525814547122
"AF"	"latef"	"Inverse variance weighted"	8	-0.705170872910579	0.192335783777657	0.00024603426778804	0.798562237851043
"AS"	"latef"	"Inverse variance weighted"	8	-0.186680214335909	0.0775853669182363	0.016122676879779	0.658074244391146
"AIS"	"latef"	"Inverse variance weighted"	8	-0.166047957250537	0.0848233047535288	0.0502799358663062	0.787018040034436
"CES"	"latef"	"Inverse variance weighted"	8	-0.741626177813324	0.202171282760988	0.00024416262851353	0.544060788349144
"HF"	"latef"	"Inverse variance weighted"	8	-0.216871690997203	0.080947881963539	0.00738088499663191	0.513153114021045
"ilamax"	"HF"	"Inverse variance weighted"	12	0.160188456414248	0.0629500258389167	0.0109374018378564	0.716151644001609
"ilamin"	"HF"	"Inverse variance weighted"	12	0.137566041273526	0.057028124741073	0.0158544463434989	0.75979389456076
"laaef"	"HF"	"Inverse variance weighted"	12	-0.0754019008854989	0.0650890905394773	0.246683929281407	0.703293437634323
"lamax"	"HF"	"Inverse variance weighted"	12	0.160831469125921	0.0638819059595619	0.0118144912840296	0.457499175111374
"lamin"	"HF"	"Inverse variance weighted"	12	0.136801568317211	0.0558799132033254	0.0143597861987887	0.526324552519443
"lapef"	"HF"	"Inverse variance weighted"	12	-0.0609554537001735	0.0822980424191297	0.45889530279556	0.156084596424333
"latef"	"HF"	"Inverse variance weighted"	12	-0.0626861485354081	0.059976928241629	0.295943925024875	0.989657825909226
"ilamax"	"AF"	"Inverse variance weighted"	46	0.0713939175291522	0.0173133141609351	3.72927615677551e-05	0.0196291042062307
"ilamin"	"AF"	"Inverse variance weighted"	46	0.0881385449953985	0.0171451496263201	2.73676489486686e-07	0.265294291135929
"laaef"	"AF"	"Inverse variance weighted"	46	-0.100956068649893	0.0162349330929264	5.02099943511771e-10	0.670240623921861
"lamax"	"AF"	"Inverse variance weighted"	46	0.0656866183652767	0.016838343489985	9.57905005090435e-05	0.0190650016821296
"lamin"	"AF"	"Inverse variance weighted"	46	0.0848546717029558	0.0168821536592081	5.00048462155967e-07	0.239331448087334
"lapef"	"AF"	"Inverse variance weighted"	46	0.000449932409977133	0.0180389154248337	0.980100970846645	0.0635542386531896
"latef"	"AF"	"Inverse variance weighted"	46	-0.0833910430281577	0.0168583937804884	7.55367584646088e-07	0.352966712531603
