"ilamax 1se lambda" "ilamax min lambda" "ilamin 1se lambda" "ilamin min lambda" "laaef 1se lambda" "laaef min lambda" "lapef 1se lambda" "lapef min lambda" "latef 1se lambda" "latef min lambda"
"MSE" 0.9293 0.9201 0.9419 0.9304 0.9551 0.9452 0.7655 0.761 0.9583 0.9486
"age" -0.04618 -0.09646 0 0.0153 0.02457 0.05533 -0.3429 -0.365 -0.08563 -0.1285
"sex" 0 -0.0393 0 -0.08823 0.1022 0.3079 0 -0.03794 0 0.12
"af" 0.1571 0.3917 0.397 0.7158 -0.4211 -0.7413 -0.07407 -0.2882 -0.5299 -0.7669
"t2d" 0 -0.06207 0 0.03431 0 -0.1235 -0.08979 -0.2225 0 -0.1833
"bmi" 0 0.02145 0.002362 0.05021 0 -0.01357 -0.1933 -0.2155 -0.03979 -0.08202
"height" -0.02868 -0.05999 0 -0.0008053 0 -0.07153 0 0.005728 0 -0.07166
"sbp" 0.1095 0.1641 0.07916 0.1266 0 -0.0004853 -0.08143 -0.08976 0 -0.02114
"hr" -0.2258 -0.2673 -0.2218 -0.286 0.1942 0.24 -0.08132 -0.1095 0.1834 0.2318
